Tên,Giá,RAM,SSD,Rating,Đã bán
Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W),12.990.000₫,RAM 16 GB,SSD 512 GB,4.9,"17,3k"
HP 15 fc0085AU R5 7430U (A6VV8PA),13.690.000₫,RAM 16 GB,SSD 512 GB,4.9,"7,3k"
Dell Inspiron 15 3520 i5 1235U (N5I5057W1),16.490.000₫,RAM 16 GB,SSD 512 GB,4.9,"1,2k"
Acer Aspire 7 A715 76 53PJ i5 12450H (NH.QGESV.007),13.990.000₫,RAM 16 GB,SSD 512 GB,5,"1,2k"
MacBook Air 13 inch M4 16GB/256GB,26.990.000₫,RAM 16 GB,SSD 256 GB,4.9,66
HP 15 fd0234TU i5 1334U (9Q969PA),16.190.000₫,RAM 16 GB,SSD 512 GB,4.9,"6,5k"
Asus Vivobook 15 OLED A1505ZA i5 12500H (MA415W),16.690.000₫,RAM 16 GB,SSD 512 GB,4.9,"6,4k"
MacBook Air 13 inch M1 8GB/256GB,17.090.000₫,RAM 8 GB,SSD 256 GB,4.9,"12,7k"
Acer Aspire 3 A314 42P R3B3 R7 5700U (NX.KSFSV.001),12.790.000₫,RAM 16 GB,SSD 512 GB,4.9,"2,5k"
Lenovo IdeaPad Slim 3 15IRH10 i5 13420H (83K1000HVN),16.490.000₫,RAM 16 GB,SSD 512 GB,4.9,287
Dell Inspiron 15 3520 i5 1235U,16.490.000₫,RAM 16 GB,SSD 512 GB,4.9,"9,6k"
HP 15 fd0303TU i3 1315U (A2NL4PA),11.690.000₫,RAM 8 GB,SSD 512 GB,5,"5,6k"
Asus Vivobook 15 X1504ZA i5 1235U (NJ1608W),14.690.000₫,RAM 16 GB,SSD 512 GB,4.9,2k
Acer Aspire Lite 14 51M 36PN i3 1215U (NX.KTWSV.001),9.990.000₫,RAM 8 GB,SSD 512 GB,5,"2,6k"
Lenovo Ideapad Slim 3 15AMN8 R5 7520U (82XQ00J0VN),13.190.000₫,RAM 16 GB,SSD 512 GB,4.9,"3,7k"
MacBook Air 13 inch M2 16GB/256GB,21.790.000₫,RAM 16 GB,SSD 256 GB,5,"3,3k"
HP 240 G9 i5 1235U (AG2J7AT),15.890.000₫,RAM 16 GB,SSD 512 GB,5,3k
Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX (83LK000BVN),17.690.000₫,RAM 16 GB,SSD 512 GB,4.9,952
Acer Aspire Go AG15 31P 30M4 i3 N305 (NX.KRPSV.004),9.790.000₫,RAM 8 GB,SSD 256 GB,N/A,N/A
Asus Vivobook 15 OLED A1505VA i5 13500H (L1341W),18.690.000₫,RAM 16 GB,SSD 512 GB,4.9,"3,7k"
HP Pavilion 15 eg3093TU i5 1335U (8C5L4PA),18.190.000₫,RAM 16 GB,SSD 512 GB,4.9,"3,5k"
Asus Vivobook X1404ZA i5 1235U (NK376W),14.690.000₫,RAM 16 GB,SSD 512 GB,4.9,"6,3k"
Dell Inspiron 15 3520 i7 1255U (N5I7125W1),19.990.000₫,RAM 16 GB,SSD 512 GB,5,727
Acer Aspire Lite 14 51M 36MH i3 1215U (NX.KTVSV.001),9.590.000₫,RAM 8 GB,SSD 256 GB,5,"2,6k"
Lenovo Ideapad Slim 3 15IAH8 i5 12450H (83ER000EVN),14.690.000₫,RAM 16 GB,SSD 512 GB,4.9,8k
Asus Vivobook 15 X1504ZA i3 1215U (NJ102W),10.690.000₫,RAM 8 GB,SSD 512 GB,4.9,"9,9k"
HP Gaming VICTUS 15 fb1022AX R5 7535HS (94F19PA),16.990.000₫,RAM 16 GB,SSD 512 GB,5,"2,7k"
Acer Aspire Lite 16 G2 AL16 52P 572A i5 1334U (NX.J2SSV.004),14.290.000₫,RAM 16 GB,SSD 512 GB,5,258
MacBook Air 13 inch M3 16GB/256GB,24.790.000₫,RAM 16 GB,SSD 256 GB,5,847
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS00D9VN),23.190.000₫,RAM 24 GB,SSD 512 GB,5,"2,5k"
MSI Gaming Thin 15 B12UCX i5 12450H (2046VN),16.190.000₫,RAM 16 GB,SSD 512 GB,5,"1,3k"
HP 240 G9 i3 1215U (AG2J5AT),11.190.000₫,RAM 8 GB,SSD 512 GB,5,"1,9k"
Dell Inspiron 15 3520 i5 1235U (N3520-i5U165W11BLU-FP),16.490.000₫,RAM 16 GB,SSD 512 GB,5,"1,6k"
HP 245 G10 R5 7530U (A20TDPT),12.890.000₫,RAM 8 GB,SSD 512 GB,4.9,"4,3k"
Asus Gaming Vivobook K3605ZF i5 12500H (RP745W),17.690.000₫,RAM 16 GB,SSD 512 GB,4.9,"2,9k"
Acer Nitro V 15 ANV15 41 R2UP R5 6600H (NH.QPGSV.004),18.990.000₫,RAM 16 GB,SSD 512 GB,5,277
